"id" "sexo" "edad" "monitor" "v01" "v02" "v03" "v04" "v05" "v06" "v07" "v08" "v09" "v10"
"62" 62 "Mujer" 78 13 3 3 4 4 4 2 1 3 1 4
"63" 63 "Hombre" 68 7 5 4 2 4 3 1 2 3 2 5
"64" 64 "Mujer" 71 8 2 3 4 5 4 2 1 2 3 4
"65" 65 "Hombre" 66 12 5 3 4 2 1 4 2 1 2 3
"66" 66 "Hombre" 83 10 2 4 5 4 5 5 5 1 1 1
"67" 67 "Mujer" 76 14 3 1 1 2 1 5 3 4 2 3
"68" 68 "Mujer" 62 10 4 1 1 5 5 3 1 3 3 5
"69" 69 "Hombre" 67 4 2 3 4 5 1 5 4 3 1 2
"70" 70 "Hombre" 85 8 2 2 4 1 3 4 4 4 1 2
"71" 71 "Mujer" 71 10 5 3 5 1 1 1 4 2 5 1
"72" 72 "Mujer" 66 16 NA 1 3 4 1 1 1 3 2 3
"73" 73 "Mujer" 71 6 NA 3 5 1 5 4 2 1 3 2
"74" 74 "Mujer" 83 1 NA 2 2 3 5 1 2 3 4 3
"75" 75 "Hombre" 66 12 4 3 4 3 2 2 3 2 1 3
"76" 76 "Hombre" 67 8 2 3 5 1 3 1 1 5 1 5
"77" 77 "Mujer" 65 18 NA 3 2 2 2 4 3 1 3 4
"78" 78 "Hombre" 65 13 4 4 2 4 2 3 3 2 4 5
"79" 79 "Mujer" 69 6 4 2 1 1 3 1 4 3 4 3
"80" 80 "Hombre" 79 13 5 5 2 4 3 4 3 5 4 1
"81" 81 "Mujer" 60 17 5 3 2 1 1 3 4 1 1 1
"82" 82 "Hombre" 81 6 4 4 1 2 2 4 3 3 4 2
"83" 83 "Hombre" 68 7 NA 3 5 3 3 3 1 1 1 2
"84" 84 "Mujer" 75 9 5 1 3 2 1 5 3 4 4 2
"85" 85 "Hombre" 76 14 4 1 1 3 1 4 4 5 4 3
"86" 86 "Mujer" 63 18 2 1 3 5 3 1 3 1 4 1
"87" 87 "Hombre" 82 1 3 3 5 4 1 1 4 1 5 5
"88" 88 "Hombre" 83 2 1 5 5 1 5 5 3 5 5 3
"89" 89 "Hombre" 62 3 1 5 3 4 3 1 1 5 4 3
"90" 90 "Mujer" 71 20 4 5 1 3 1 5 1 4 1 2
"91" 91 "Hombre" 72 6 4 4 3 4 5 1 5 1 5 2
"92" 92 "Hombre" 76 9 NA 5 5 2 2 1 1 1 2 2
"93" 93 "Hombre" 76 13 NA 3 3 4 1 3 1 4 3 2
"94" 94 "Mujer" 82 9 4 5 2 3 5 5 2 5 2 4
"95" 95 "Hombre" 61 1 5 2 5 5 1 5 3 4 1 4
"96" 96 "Hombre" 67 18 2 4 1 1 4 4 4 2 5 3
"97" 97 "Mujer" 63 7 5 4 2 2 1 4 4 1 2 5
"98" 98 "Hombre" 84 4 1 4 1 2 3 1 4 2 4 3
"99" 99 "Mujer" 83 12 1 5 3 1 2 5 3 1 4 1
"100" 100 "Hombre" 60 7 1 2 1 3 1 5 4 4 5 1
"101" 101 "Mujer" 66 12 1 4 3 4 3 3 1 5 5 4
"102" 102 "Hombre" 70 15 3 1 5 3 4 2 2 3 4 3
"103" 103 "Mujer" 63 16 NA 1 4 3 2 3 3 1 1 3
"104" 104 "Hombre" 71 15 5 4 1 5 4 5 2 4 2 3
"105" 105 "Mujer" 64 1 4 3 1 4 3 1 2 3 3 1
"106" 106 "Hombre" 63 15 5 1 3 3 3 2 1 2 4 2
"107" 107 "Mujer" 84 16 4 1 4 1 4 2 3 5 2 1
"108" 108 "Hombre" 75 18 3 3 2 4 5 4 5 3 5 2
"109" 109 "Mujer" 74 6 1 5 2 1 4 3 5 3 1 3
"110" 110 "Mujer" 79 17 NA 1 3 1 4 3 4 2 2 5
"111" 111 "Mujer" 78 15 1 3 2 4 1 2 5 4 2 2
"112" 112 "Hombre" 83 18 NA 1 2 1 3 1 2 2 1 4
"113" 113 "Mujer" 68 20 2 4 4 3 2 3 3 3 3 3
"114" 114 "Hombre" 81 8 2 4 4 3 5 1 1 5 3 3
"115" 115 "Hombre" 84 11 4 5 2 5 1 2 3 1 2 1
"116" 116 "Hombre" 76 9 2 3 5 1 5 3 4 5 4 2
"117" 117 "Hombre" 61 6 4 1 4 3 1 2 4 3 5 5
"118" 118 "Mujer" 83 9 4 3 4 1 2 3 5 4 4 5
"119" 119 "Hombre" 80 3 4 3 2 3 2 3 3 2 2 4
"120" 120 "Mujer" 66 4 4 4 4 5 4 5 5 4 5 2
"121" 121 "Mujer" 82 6 NA 4 4 1 5 4 1 5 2 4
"122" 122 "Hombre" 71 10 3 3 1 2 1 5 4 2 4 4
"123" 123 "Mujer" 67 17 2 5 4 3 4 2 4 4 5 4
"124" 124 "Mujer" 68 6 4 4 1 2 3 4 1 4 4 4
"125" 125 "Hombre" 74 13 2 2 4 5 2 2 4 2 3 3
"126" 126 "Hombre" 62 19 4 1 3 1 4 2 2 1 2 5
"127" 127 "Hombre" 84 18 NA 3 1 2 3 3 4 5 3 4
"128" 128 "Hombre" 70 12 NA 4 5 4 5 3 2 3 2 3
"129" 129 "Mujer" 62 13 2 5 3 4 2 5 2 4 4 4
"130" 130 "Mujer" 83 8 4 4 2 5 5 5 1 3 4 5
"131" 131 "Mujer" 74 2 5 3 3 3 1 1 4 2 4 2
"132" 132 "Mujer" 62 15 3 4 5 5 5 3 3 5 1 2
"133" 133 "Mujer" 72 16 NA 3 2 1 1 5 5 4 4 2
"134" 134 "Mujer" 71 11 1 3 2 1 4 3 1 2 2 1
"135" 135 "Mujer" 65 18 3 5 4 3 4 1 5 4 2 3
"136" 136 "Mujer" 68 13 2 3 2 3 1 2 4 5 5 2
"137" 137 "Hombre" 68 19 1 1 1 5 2 4 2 3 4 4
"138" 138 "Mujer" 82 20 5 3 1 1 1 2 2 4 3 3
"139" 139 "Mujer" 81 6 3 5 3 5 2 3 3 5 4 2
"140" 140 "Mujer" 84 5 1 5 2 2 2 3 3 3 5 3
"141" 141 "Hombre" 62 3 NA 1 1 4 4 2 5 3 4 2
"142" 142 "Mujer" 76 4 2 5 5 1 1 5 1 3 5 2
"143" 143 "Hombre" 75 15 3 2 1 1 5 4 5 5 5 2
"144" 144 "Hombre" 78 4 3 2 2 5 2 4 4 2 1 1
"145" 145 "Mujer" 62 12 4 1 2 1 1 5 4 3 5 4
"146" 146 "Hombre" 79 13 3 5 3 5 5 3 1 5 1 5
"147" 147 "Hombre" 73 7 1 4 4 4 5 4 3 3 4 1
"148" 148 "Mujer" 71 1 1 2 4 2 2 3 3 1 4 4
"149" 149 "Hombre" 63 11 4 2 4 3 1 4 5 5 4 4
"150" 150 "Mujer" 70 9 5 5 1 5 2 3 3 3 3 4
"151" 151 "Hombre" 84 11 2 5 3 2 3 4 4 2 4 2
"152" 152 "Mujer" 70 10 2 2 5 2 5 4 3 3 5 4
"153" 153 "Mujer" 75 12 4 4 1 4 4 5 1 5 1 3
"154" 154 "Mujer" 79 14 NA 4 3 4 2 2 4 2 1 4
"155" 155 "Mujer" 75 19 1 1 5 5 1 5 4 5 5 5
"156" 156 "Mujer" 84 17 4 4 2 3 2 3 4 4 4 4
"157" 157 "Hombre" 72 7 NA 1 1 1 2 4 3 3 3 5
"158" 158 "Hombre" 66 20 2 1 5 2 3 4 5 4 1 1
"159" 159 "Mujer" 74 2 5 3 4 3 3 1 1 5 2 2
"160" 160 "Hombre" 78 13 4 3 2 5 5 4 4 3 3 4
"161" 161 "Mujer" 64 6 3 4 3 1 5 4 1 5 3 1
"162" 162 "Hombre" 68 11 2 4 3 4 2 1 4 5 5 4
"163" 163 "Mujer" 60 3 3 4 3 5 3 4 1 2 2 2
"164" 164 "Mujer" 83 13 5 5 5 2 4 5 3 1 4 4
"165" 165 "Hombre" 60 6 2 3 3 5 4 4 3 3 5 3
"166" 166 "Hombre" 82 11 1 4 5 2 2 4 4 5 1 3
"167" 167 "Mujer" 60 9 4 3 5 4 5 5 2 2 4 5
"168" 168 "Mujer" 84 20 NA 3 2 2 4 4 2 4 4 1
"169" 169 "Mujer" 61 20 3 3 2 4 2 4 2 2 4 3
"170" 170 "Mujer" 79 20 4 1 4 1 1 2 2 2 4 1
"171" 171 "Mujer" 76 14 NA 4 4 4 4 2 3 3 5 2
"172" 172 "Hombre" 70 10 1 3 1 2 4 5 4 4 1 4
"173" 173 "Mujer" 65 8 1 1 1 2 5 5 4 3 3 5
"174" 174 "Hombre" 80 7 1 1 1 3 2 5 1 5 5 3
"175" 175 "Mujer" 67 7 5 4 3 2 4 5 4 1 3 4
"176" 176 "Hombre" 73 8 2 3 5 2 5 2 2 4 2 1
"177" 177 "Mujer" 77 16 NA 3 1 2 5 2 1 4 1 4
"178" 178 "Mujer" 72 10 4 4 2 4 4 1 5 2 1 4
"179" 179 "Hombre" 72 17 3 1 3 1 3 5 2 3 5 4
"180" 180 "Mujer" 73 13 2 2 4 4 5 3 5 1 2 2
"181" 181 "Hombre" 75 8 4 1 1 2 3 4 3 1 1 3
"182" 182 "Hombre" 79 13 NA 2 1 5 5 2 2 4 3 2
"183" 183 "Mujer" 69 16 5 2 5 2 1 4 3 5 1 4
"184" 184 "Hombre" 66 20 3 3 1 2 3 3 5 5 1 1
"185" 185 "Mujer" 81 13 3 2 4 4 2 4 5 1 2 3
"186" 186 "Mujer" 66 19 3 2 5 3 5 3 1 3 3 4
"187" 187 "Mujer" 75 2 5 2 4 1 3 2 5 2 1 5
"188" 188 "Mujer" 84 8 1 4 4 2 3 3 1 1 1 3
"189" 189 "Mujer" 64 6 NA 2 3 2 2 1 4 2 1 1
"190" 190 "Hombre" 81 1 3 3 3 4 2 4 1 4 2 4
"191" 191 "Mujer" 64 20 1 5 1 2 3 1 4 3 4 4
"192" 192 "Hombre" 81 16 1 4 4 4 2 4 5 3 2 3
"193" 193 "Hombre" 75 1 5 1 5 4 2 4 5 2 2 3
"194" 194 "Hombre" 74 12 NA 3 1 3 5 4 3 4 4 2
"195" 195 "Mujer" 79 20 1 4 4 4 5 1 1 5 4 3
"196" 196 "Hombre" 80 19 NA 1 1 4 1 3 2 5 1 5
"197" 197 "Mujer" 76 3 5 2 4 2 4 5 5 3 4 4
"198" 198 "Hombre" 82 5 4 1 5 4 1 1 2 1 2 2
"199" 199 "Mujer" 72 9 3 1 2 4 1 4 2 2 5 2
"200" 200 "Mujer" 83 10 2 3 2 3 3 1 5 2 2 4
"201" 201 "Mujer" 84 3 4 3 3 5 3 4 3 1 5 1
"202" 202 "Hombre" 85 19 1 1 5 1 1 1 1 4 2 4
"203" 203 "Hombre" 62 15 5 3 5 1 2 1 4 3 3 4
"204" 204 "Hombre" 74 7 2 3 4 1 1 1 1 1 5 2
"205" 205 "Mujer" 82 9 5 3 1 4 4 3 4 5 5 2
"206" 206 "Hombre" 69 5 NA 3 1 1 3 1 4 2 4 1
"207" 207 "Mujer" 75 20 2 3 1 4 5 3 3 1 1 5
"208" 208 "Hombre" 74 2 3 4 5 1 1 1 4 1 3 1
"209" 209 "Mujer" 72 7 4 1 2 2 1 5 3 1 1 2
"210" 210 "Mujer" 82 1 3 4 4 4 5 5 4 5 1 1
"211" 211 "Hombre" 82 12 NA 4 4 2 4 1 1 1 3 1
"212" 212 "Hombre" 70 11 NA 3 1 5 3 5 5 2 2 1
"213" 213 "Hombre" 76 3 5 3 1 2 2 4 3 1 3 5
"214" 214 "Mujer" 75 12 2 4 1 5 3 5 1 4 4 1
"215" 215 "Hombre" 66 1 2 3 5 5 1 3 5 1 2 3
"216" 216 "Hombre" 67 2 2 3 4 5 3 1 3 2 5 3
"217" 217 "Hombre" 61 7 1 1 4 5 1 1 2 1 1 1
"218" 218 "Mujer" 85 15 NA 2 1 3 2 1 5 5 3 2
"219" 219 "Mujer" 80 1 1 5 3 2 2 3 4 4 4 5
"220" 220 "Mujer" 66 16 NA 3 4 4 4 2 3 1 2 1
"221" 221 "Mujer" 69 3 1 5 4 1 5 3 1 4 1 5
"222" 222 "Hombre" 80 12 4 2 1 1 1 1 1 3 4 1
"223" 223 "Mujer" 63 8 4 4 4 1 1 2 2 1 5 5
"224" 224 "Mujer" 76 19 1 5 1 4 2 5 4 1 5 3
"225" 225 "Mujer" 74 4 5 4 1 3 2 2 4 1 4 3
"226" 226 "Hombre" 67 18 4 4 4 3 3 1 4 4 4 4
"227" 227 "Mujer" 72 9 3 4 4 2 3 5 4 2 4 4
"228" 228 "Hombre" 76 6 4 5 1 3 4 4 1 5 2 1
"229" 229 "Hombre" 75 5 2 3 1 4 1 1 3 4 2 1
"230" 230 "Mujer" 77 18 NA 1 3 4 5 1 3 3 5 2
"231" 231 "Mujer" 65 7 NA 2 1 4 5 3 4 3 4 1
"232" 232 "Mujer" 73 15 4 4 4 4 1 4 5 4 4 1
"233" 233 "Mujer" 74 7 5 1 5 1 1 3 2 2 2 1
"234" 234 "Hombre" 82 8 5 1 4 4 4 2 4 5 4 5
"235" 235 "Mujer" 78 13 2 2 2 3 4 1 5 2 2 4
"236" 236 "Hombre" 73 11 2 5 1 3 5 2 4 2 1 1
"237" 237 "Mujer" 71 1 NA 1 1 4 2 2 4 2 1 5
"238" 238 "Mujer" 62 15 1 2 5 1 5 2 1 4 4 2
"239" 239 "Mujer" 80 10 3 3 2 2 5 3 3 3 2 3
"240" 240 "Mujer" 71 20 5 4 3 5 3 3 1 4 2 1
"241" 241 "Hombre" 76 15 5 3 5 1 2 5 2 2 5 4
"242" 242 "Hombre" 65 19 2 1 4 2 3 5 1 4 5 2
"243" 243 "Hombre" 85 12 4 1 4 3 1 2 4 1 1 2
"244" 244 "Hombre" 77 4 1 5 3 2 1 4 4 2 1 4
"245" 245 "Mujer" 74 18 4 3 3 5 3 4 3 5 2 1
"246" 246 "Hombre" 72 3 3 1 5 4 1 2 4 2 1 5
"247" 247 "Mujer" 73 17 1 3 1 5 5 4 4 5 1 1
"248" 248 "Hombre" 83 8 5 3 1 3 3 4 2 1 5 5
"249" 249 "Hombre" 68 13 1 2 5 3 4 4 4 3 4 3
"250" 250 "Hombre" 81 20 3 5 1 2 3 5 3 4 2 5
"251" 251 "Hombre" 85 13 1 3 5 2 1 3 3 2 3 1
"252" 252 "Mujer" 73 2 3 1 5 2 3 5 3 3 2 1
"253" 253 "Mujer" 63 7 5 1 2 3 3 5 5 2 2 5
"254" 254 "Hombre" 62 15 NA 1 5 2 5 1 1 5 1 2
"255" 255 "Mujer" 65 5 2 2 3 2 4 2 4 2 4 4
"256" 256 "Mujer" 74 9 1 2 1 4 2 4 4 1 1 4
"257" 257 "Mujer" 68 7 5 2 3 2 4 4 1 3 1 1
"258" 258 "Mujer" 82 17 3 4 1 1 3 2 4 5 3 3
"259" 259 "Mujer" 63 7 NA 2 4 1 3 2 5 3 2 4
"260" 260 "Mujer" 61 2 4 2 2 5 1 4 1 3 3 4
"261" 261 "Hombre" 67 1 1 1 2 2 1 1 2 1 5 1
"262" 262 "Mujer" 75 7 4 4 2 4 5 3 4 2 1 5
"263" 263 "Hombre" 77 7 NA 2 4 2 1 1 2 4 2 4
"264" 264 "Hombre" 60 15 3 4 1 5 1 5 2 5 4 5
"265" 265 "Hombre" 68 6 4 3 5 5 4 5 4 5 2 2
"266" 266 "Hombre" 65 10 2 1 1 1 2 1 5 2 3 4
"267" 267 "Hombre" 72 5 4 3 3 5 3 5 5 4 1 1
"268" 268 "Mujer" 85 8 1 4 1 5 3 2 2 1 5 3
"269" 269 "Hombre" 71 7 2 3 5 5 3 5 5 5 4 5
"270" 270 "Mujer" 84 2 4 5 4 1 3 4 2 1 5 4
"271" 271 "Mujer" 80 11 5 2 4 4 4 5 5 1 4 3
"272" 272 "Mujer" 82 19 2 1 5 4 4 5 2 2 1 4
"273" 273 "Mujer" 60 4 1 4 3 4 4 3 3 5 3 5
"274" 274 "Mujer" 62 9 4 3 1 3 5 3 1 5 3 5
"275" 275 "Hombre" 77 12 4 3 2 2 4 5 4 1 4 3
"276" 276 "Mujer" 67 9 1 2 3 1 4 1 3 2 3 4
"277" 277 "Hombre" 73 6 2 2 2 5 5 1 2 3 1 1
"278" 278 "Mujer" 81 9 1 1 5 1 4 2 2 3 2 3
"279" 279 "Mujer" 67 8 3 3 5 2 3 1 3 2 5 5
"280" 280 "Mujer" 78 1 2 5 3 1 3 4 4 2 2 4
"281" 281 "Mujer" 83 11 1 1 2 4 2 5 5 3 1 1
"282" 282 "Mujer" 72 18 1 3 4 5 3 5 1 1 5 5
"283" 283 "Hombre" 79 20 1 1 5 5 2 1 4 2 2 2
"284" 284 "Hombre" 82 20 NA 2 2 2 2 4 3 3 4 4
"285" 285 "Hombre" 79 6 3 4 5 1 5 1 3 3 4 2
"286" 286 "Hombre" 82 10 4 1 2 5 5 3 5 5 1 5
"287" 287 "Mujer" 67 18 2 2 4 4 4 3 4 1 5 4
"288" 288 "Mujer" 75 14 NA 4 4 5 5 2 2 4 2 4
"289" 289 "Mujer" 67 4 4 3 1 4 1 2 3 4 2 3
"290" 290 "Hombre" 61 18 5 4 2 3 5 5 5 3 1 3
"291" 291 "Hombre" 63 12 5 5 3 1 4 2 3 1 2 5
"292" 292 "Hombre" 66 10 NA 1 5 1 3 3 3 4 3 3
"293" 293 "Hombre" 77 6 2 5 5 3 5 3 1 3 3 3
"294" 294 "Hombre" 80 1 1 3 2 2 1 3 1 5 3 1
"295" 295 "Hombre" 77 1 NA 3 3 5 3 2 1 1 5 3
"296" 296 "Mujer" 73 6 1 3 3 3 5 4 4 5 5 5
"297" 297 "Mujer" 82 14 2 2 1 2 3 3 3 2 4 1
"298" 298 "Hombre" 73 8 1 4 3 2 2 3 5 1 5 2
"299" 299 "Mujer" 72 7 NA 3 5 3 3 5 5 1 3 5
"300" 300 "Mujer" 76 9 NA 5 4 2 3 4 2 2 1 2
"301" 301 "Mujer" 62 20 NA 4 1 1 5 2 1 2 2 3
"302" 302 "Hombre" 65 1 3 2 1 1 4 1 3 2 1 3
"303" 303 "Mujer" 85 8 5 4 4 5 1 1 1 1 3 4
"304" 304 "Mujer" 76 18 2 5 1 4 1 5 2 4 1 2
"305" 305 "Mujer" 85 19 1 2 5 1 2 2 2 3 2 3
"306" 306 "Mujer" 85 19 1 4 1 4 4 1 4 3 2 1
"307" 307 "Mujer" 83 10 2 1 4 1 2 4 1 1 2 5
"308" 308 "Hombre" 67 10 3 2 2 3 4 1 1 5 1 3
"309" 309 "Hombre" 61 15 3 3 5 2 3 4 2 4 1 4
"310" 310 "Hombre" 79 17 5 1 5 1 5 4 2 1 1 1
"311" 311 "Mujer" 74 18 2 3 4 4 2 4 4 2 5 4
"312" 312 "Hombre" 80 11 4 3 2 2 5 4 1 2 2 1
"313" 313 "Mujer" 70 19 4 5 5 2 3 1 2 5 3 1
"314" 314 "Mujer" 66 19 5 1 4 3 5 4 5 1 5 3
"315" 315 "Hombre" 66 11 NA 3 2 3 1 4 5 3 2 2
"316" 316 "Mujer" 65 3 4 1 2 5 3 3 1 3 1 1
"317" 317 "Hombre" 84 13 1 4 5 3 4 1 2 2 1 2
"318" 318 "Mujer" 66 14 4 3 2 5 1 4 4 4 1 1
"319" 319 "Hombre" 67 10 NA 2 3 5 4 3 5 2 4 1
"320" 320 "Mujer" 65 19 2 3 3 3 2 3 3 1 5 3
"321" 321 "Mujer" 79 20 3 1 2 3 3 1 1 5 5 3
"322" 322 "Mujer" 63 17 1 2 4 3 2 2 4 5 3 1
"323" 323 "Mujer" 83 15 NA 1 3 1 5 2 1 4 3 4
"324" 324 "Hombre" 63 20 NA 1 3 2 3 4 2 3 3 2
"325" 325 "Hombre" 79 18 2 5 4 2 4 4 3 3 1 5
"326" 326 "Mujer" 72 12 2 5 3 2 2 4 3 1 5 2
"327" 327 "Hombre" 68 20 5 2 1 5 3 2 1 3 5 4
"328" 328 "Hombre" 77 6 NA 3 5 2 1 1 1 1 2 1
"329" 329 "Mujer" 81 4 NA 2 1 3 3 4 2 3 4 2
"330" 330 "Mujer" 63 9 3 2 5 2 4 4 5 5 5 3
"331" 331 "Mujer" 75 7 2 3 1 2 2 3 3 1 3 3
"332" 332 "Hombre" 70 10 3 3 5 5 5 5 5 5 5 5
"333" 333 "Mujer" 72 3 NA 1 1 5 5 3 4 2 2 2
"334" 334 "Mujer" 77 19 4 5 3 2 4 2 5 2 1 3
"335" 335 "Hombre" 74 15 3 5 3 5 4 5 5 3 5 4
"336" 336 "Mujer" 81 4 1 5 1 5 2 5 3 5 3 1
"337" 337 "Hombre" 62 1 4 5 2 4 1 1 3 3 2 2
"338" 338 "Hombre" 85 10 4 3 4 1 3 2 1 5 2 1
"339" 339 "Mujer" 83 14 3 2 3 4 5 2 4 2 1 2
"340" 340 "Mujer" 73 15 3 1 5 5 2 1 3 4 4 2
"341" 341 "Hombre" 63 10 4 2 1 2 4 2 4 4 2 1
"342" 342 "Hombre" 82 17 NA 3 1 1 1 2 3 5 1 3
"343" 343 "Mujer" 83 8 3 4 2 5 4 2 1 2 1 4
"344" 344 "Hombre" 61 4 3 2 5 5 5 1 4 4 1 2
"345" 345 "Hombre" 74 2 3 1 2 3 5 1 1 5 4 5
"346" 346 "Hombre" 81 16 2 1 1 3 4 2 5 3 1 2
"347" 347 "Mujer" 68 16 4 1 2 5 1 5 3 4 3 5
"348" 348 "Mujer" 79 7 1 4 2 4 5 1 2 1 5 5
"349" 349 "Mujer" 78 11 1 5 1 4 1 5 5 1 2 3
"350" 350 "Mujer" 68 17 1 5 1 5 4 2 4 1 1 2
"351" 351 "Hombre" 73 3 2 2 4 5 4 1 1 1 4 3
"352" 352 "Mujer" 76 17 5 3 3 3 1 1 2 2 4 3
"353" 353 "Mujer" 81 17 4 2 3 3 4 4 2 3 4 2
"354" 354 "Mujer" 84 9 3 1 2 5 2 5 4 3 5 1
"355" 355 "Hombre" 71 20 5 4 2 3 4 4 4 2 4 1
"356" 356 "Hombre" 85 20 3 1 4 3 1 1 5 3 1 2
"357" 357 "Hombre" 74 5 3 3 2 4 5 5 5 3 3 3
"358" 358 "Hombre" 80 20 3 2 2 1 4 1 1 5 4 3
"359" 359 "Mujer" 79 20 5 4 4 4 3 3 4 4 4 2
"360" 360 "Mujer" 85 12 3 4 3 5 4 1 1 1 2 3
"361" 361 "Mujer" 69 1 5 3 2 1 4 1 1 2 4 2
"362" 362 "Hombre" 77 14 5 4 3 1 1 5 3 1 5 5
"363" 363 "Hombre" 82 1 3 4 2 5 3 3 2 1 1 4
"364" 364 "Mujer" 75 2 NA 5 5 4 2 5 2 3 2 2
"365" 365 "Mujer" 65 1 2 2 3 5 2 1 1 1 2 2
"366" 366 "Hombre" 85 6 3 4 4 4 1 2 4 3 1 5
"367" 367 "Mujer" 78 5 NA 5 2 1 5 3 2 5 4 2
"368" 368 "Mujer" 63 9 4 5 3 5 2 2 4 2 3 2
"369" 369 "Mujer" 76 16 1 4 3 1 2 1 4 2 5 2
"370" 370 "Hombre" 69 14 4 3 3 5 1 4 3 4 4 2
"371" 371 "Hombre" 76 18 5 5 5 5 2 2 2 2 4 1
"372" 372 "Hombre" 78 4 NA 5 2 4 3 1 1 5 4 5
"373" 373 "Mujer" 65 6 4 5 4 1 1 4 1 2 5 5
